index,packet_size,inter_arrival_time,src_port,dst_port,packet_count_5s,mean_packet_size,spectral_entropy,frequency_band_energy,label,score,z_score,is_anomaly,reason
0,0.405154,0.620362,62569,443,0.857143,0.000000,0.834066,0.534891,0,0.940045,-0.119420,0,Normal
1,0.527559,0.741288,59382,443,0.785714,0.000000,0.147196,0.990757,0,1.518316,1.317699,0,Normal
2,0.226199,0.485116,65484,80,0.285714,0.000000,0.855192,0.031781,0,0.257980,-1.814485,1,|z|=1.81 >= 1.5
3,0.573372,0.450965,51707,53,0.142857,0.000000,0.153220,0.169958,0,0.743330,-0.608295,0,Normal
4,0.651396,0.888740,26915,53,0.714286,0.000000,0.923916,0.552053,0,1.203449,0.535193,0,Normal
5,0.568361,0.207250,2619,53,0.928571,0.000000,0.113375,0.582346,0,1.150707,0.404117,0,Normal
6,0.571940,0.363908,14582,53,0.714286,0.000000,0.874457,0.760548,0,1.332488,0.855879,0,Normal
7,0.173228,0.075335,5724,443,0.428571,0.000000,0.541747,0.175055,0,0.348283,-1.590064,1,|z|=1.59 >= 1.5
8,0.967788,0.493461,28474,443,0.071429,0.000000,0.330655,0.023906,0,0.991694,0.008940,0,Normal
9,0.364352,0.434362,22620,443,0.571429,0.000000,0.056789,0.172246,0,0.536598,-1.122064,0,Normal
10,0.981389,0.268745,55001,53,0.714286,0.000000,0.885791,0.117128,0,1.098517,0.274416,0,Normal
11,0.053686,0.699422,59244,443,0.500000,0.000000,0.018393,0.321347,0,0.375034,-1.523583,1,|z|=1.52 >= 1.5
12,0.541160,0.180189,19720,53,0.214286,0.000000,0.235717,0.342521,0,0.883681,-0.259494,0,Normal
13,0.982820,0.132037,44626,80,0.071429,0.000000,0.469088,0.850137,0,1.832957,2.099645,1,|z|=2.10 >= 1.5
14,0.909091,0.900440,58876,53,0.571429,0.000000,0.795396,0.692129,0,1.601220,1.523733,1,|z|=1.52 >= 1.5
15,0.687903,0.612867,6787,443,0.357143,0.000000,0.831689,0.968626,0,1.656529,1.661185,1,|z|=1.66 >= 1.5
16,0.935576,0.312725,4734,80,1.000000,0.000000,0.803745,0.364619,0,1.300195,0.775626,0,Normal
17,0.634932,0.818244,59615,53,0.428571,0.000000,0.119397,0.419593,0,1.054525,0.165086,0,Normal
18,0.970651,0.939847,48181,80,0.285714,0.000000,0.739895,0.081899,0,1.052550,0.160179,0,Normal
19,0.451682,0.966617,4151,80,0.571429,0.000000,0.260961,0.930159,0,1.381841,0.978533,0,Normal
20,0.274875,0.142622,7068,443,0.642857,0.000000,0.356948,0.753882,0,1.028757,0.101049,0,Normal
21,0.312097,0.135935,17182,80,1.000000,0.000000,0.400535,0.879835,0,1.191933,0.506573,0,Normal
22,0.332140,0.737741,30522,443,0.142857,0.000000,0.838940,0.926323,1,1.258463,0.671914,0,Normal
23,0.789549,0.715371,58164,443,0.642857,0.000000,0.515139,0.056954,0,0.846503,-0.351890,0,Normal
24,0.860415,0.701356,51625,53,0.928571,0.000000,0.271074,0.867624,0,1.728039,1.838903,1,|z|=1.84 >= 1.5
25,0.707946,0.114846,18845,80,0.428571,0.000000,0.775912,0.406420,0,1.114365,0.313802,0,Normal
26,0.130279,0.564393,50612,80,0.714286,0.000000,0.100882,0.877328,0,1.007607,0.048487,0,Normal
27,0.901217,0.074961,41943,80,0.857143,0.000000,0.346470,0.052882,0,0.954099,-0.084492,0,Normal
28,0.907659,0.693303,1383,53,0.357143,0.000000,0.262331,0.912314,0,1.819973,2.067377,1,|z|=2.07 >= 1.5
29,0.760200,0.778455,60793,443,0.714286,0.000000,0.231910,0.733356,0,1.493556,1.256166,0,Normal
30,0.831067,0.607438,13392,80,0.357143,0.000000,0.769955,0.596983,0,1.428050,1.093370,0,Normal
